Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry,Country
LCI Industries Inc,LCII,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment,US
Lloyds Banking Group PLC,LLOY.L,London Stock Exchange,Financials,Banks,Banks,Diversified Banks,UK
Localiza Rent A Car SA,RENT3.SA,B3 S.A.,Industrials,Transportation,Road and Rail,Trucking,Brazil
Lockheed Martin Corp,LMT,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,US
Loews Corp,L,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Property and Casualty Insurance,US
Lojas Renner SA,LREN3.SA,B3 S.A.,Consumer Discretionary,Retailing,Multiline Retail,Department Stores,Brazil
Lookers PLC,LOOK.L,London Stock Exchange,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail,UK
Lowe's Companies Inc,LOW,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,US
Lululemon Athletica Inc,LULU,Nasdaq,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods",US
Lyft Inc,LYFT,Nasdaq,Industrials,Transportation,Road and Rail,Trucking,US
M Dias Branco SA Industria e Comercio de Alimentos,MDIA3.SA,B3 S.A.,Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,Brazil
M&T Bank Corp,MTB,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Regional Banks,US
Macy's Inc,M,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Multiline Retail,Department Stores,US
Magazine Luiza SA,MGLU3.SA,B3 S.A.,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,Brazil
Mahindra & Mahindra Ltd,M&M.BO,BSE LTD,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers,India
Manhattan Associates Inc,MANH,Nasdaq,Information Technology,Software and Services,Software,Application Software,US
Marriott International Inc,MAR,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines",US
Maruti Suzuki India Ltd,MARUTI.BO,BSE LTD,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers,India
Mastercard Inc,MA,"New York Stock Exchange, Inc.",Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,US
Match Group Inc,MTCH,Nasdaq,Communication Services,Media and Entertainment,Interactive Media & Services,Interactive Media & Services,US
Mattel Inc,MAT,Nasdaq,Consumer Discretionary,Consumer Durables and Apparel,Leisure Products,Leisure Products,US
Max Financial Services Ltd,MFSL.BO,BSE LTD,Financials,Insurance,Insurance,Life and Health Insurance,India
McCormick & Co Inc,MKC,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,US
McDonald's Corp,MCD,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,US
