Date,Portfolio 1
2019-12-04,11.8359%
2019-12-05,12.0888%
2019-12-06,12.6281%
2019-12-09,12.2651%
2019-12-10,12.4064%
2019-12-11,12.2556%
2019-12-12,12.6261%
2019-12-13,13.2409%
2019-12-16,13.5705%
2019-12-17,14.0073%
2019-12-18,13.8446%
2019-12-19,14.1392%
2019-12-20,14.0282%
2019-12-23,13.9595%
2019-12-24,14.2164%
2019-12-25,14.1322%
2019-12-26,14.3817%
2019-12-27,14.4479%
2019-12-30,14.7817%
2019-12-31,14.7775%
2020-01-01,14.9224%
2020-01-02,16.0265%
2020-01-03,15.4676%
2020-01-06,15.2799%
2020-01-07,15.2189%
2020-01-08,15.2622%
2020-01-09,16.3975%
2020-01-10,16.2676%
2020-01-13,17.1358%
2020-01-14,17.2237%
2020-01-15,16.8323%
2020-01-16,16.9509%
2020-01-17,17.1143%
2020-01-20,16.8842%
2020-01-21,15.8894%
2020-01-22,15.5121%
2020-01-23,14.5841%
2020-01-24,13.6705%
2020-01-27,12.9405%
2020-01-28,13.5990%
2020-01-29,13.6091%
2020-01-30,13.3969%
2020-01-31,12.1519%
2020-02-03,11.2363%
2020-02-04,13.2043%
2020-02-05,14.0835%
2020-02-06,14.7315%
2020-02-07,14.4727%
2020-02-10,15.2494%
2020-02-11,15.6170%
2020-02-12,15.7130%
2020-02-13,15.6406%
2020-02-14,15.9338%
2020-02-17,15.6251%
2020-02-18,15.2523%
2020-02-19,16.7225%
2020-02-20,16.2495%
2020-02-21,15.6995%
2020-02-24,14.0843%
2020-02-25,12.6951%
2020-02-26,12.9987%
2020-02-27,10.9716%
2020-02-28,8.3205%
2020-03-02,9.2282%
2020-03-03,10.1158%
2020-03-04,12.6384%
2020-03-05,12.2267%
2020-03-06,11.2411%
2020-03-09,7.4356%
2020-03-10,9.5532%
2020-03-11,6.9652%
2020-03-12,0.9181%
2020-03-13,6.5786%
2020-03-16,0.0847%
2020-03-17,2.5880%
2020-03-18,-0.7408%
2020-03-19,-0.7834%
2020-03-20,0.0282%
2020-03-23,-2.3993%
2020-03-24,2.1991%
2020-03-25,3.5102%
2020-03-26,5.1621%
2020-03-27,4.6955%
2020-03-30,5.7994%
2020-03-31,5.8181%
2020-04-01,3.0081%
2020-04-02,2.9215%
2020-04-03,3.1376%
2020-04-06,7.2075%
2020-04-07,9.3125%
2020-04-08,10.2549%
2020-04-09,13.4951%
2020-04-10,13.6817%
2020-04-13,13.5430%
2020-04-14,15.0835%
2020-04-15,13.8536%
2020-04-16,15.1457%
2020-04-17,16.1855%
2020-04-20,15.7361%
2020-04-21,14.4759%
2020-04-22,16.2178%
2020-04-23,16.6174%
2020-04-24,16.5751%
2020-04-27,18.5375%
2020-04-28,18.7561%
2020-04-29,19.4798%
2020-04-30,19.2609%
2020-05-01,17.6458%
2020-05-04,17.6207%
2020-05-05,17.8252%
2020-05-06,17.0957%
2020-05-07,16.9364%
2020-05-08,17.8076%
2020-05-11,17.5899%
2020-05-12,16.0338%
2020-05-13,15.8955%
2020-05-14,15.8599%
2020-05-15,15.0336%
2020-05-18,17.8958%
2020-05-19,17.7466%
2020-05-20,18.0112%
2020-05-21,18.2174%
2020-05-22,17.4079%
2020-05-25,17.8703%
2020-05-26,19.5860%
2020-05-27,20.1806%
2020-05-28,20.1090%
2020-05-29,20.3529%
2020-06-01,21.2648%
2020-06-02,21.7434%
2020-06-03,23.1019%
2020-06-04,23.0666%
2020-06-05,24.0663%
2020-06-08,23.0561%
2020-06-09,22.4833%
2020-06-10,22.3801%
2020-06-11,19.7014%
2020-06-12,19.7097%
2020-06-15,19.5757%
2020-06-16,20.1873%
2020-06-17,20.1004%
2020-06-18,20.2729%
2020-06-19,21.1221%
2020-06-22,21.2776%
2020-06-23,22.2430%
2020-06-24,22.0326%
2020-06-25,22.5639%
2020-06-26,22.7901%
2020-06-29,23.3561%
2020-06-30,23.3486%
2020-07-01,23.6768%
2020-07-02,25.3349%
2020-07-03,25.4245%
2020-07-06,26.9818%
2020-07-07,27.0719%
2020-07-08,27.1568%
2020-07-09,28.4454%
2020-07-10,28.7553%
2020-07-13,29.2120%
2020-07-14,28.8381%
2020-07-15,30.2129%
2020-07-16,29.3161%
2020-07-17,29.8333%
2020-07-20,30.6071%
2020-07-21,31.1403%
2020-07-22,30.3386%
2020-07-23,30.0499%
2020-07-24,28.5283%
2020-07-27,28.4367%
2020-07-28,28.7952%
2020-07-29,30.0008%
2020-07-30,30.1547%
2020-07-31,31.0561%
2020-08-03,31.3249%
2020-08-04,31.9242%
2020-08-05,32.1204%
2020-08-06,31.9245%
2020-08-07,31.2943%
2020-08-10,32.6585%
2020-08-11,32.8625%
2020-08-12,33.1420%
2020-08-13,32.7673%
2020-08-14,33.2048%
2020-08-17,33.7340%
2020-08-18,33.8239%
2020-08-19,33.2695%
2020-08-20,33.1623%
2020-08-21,33.5332%
2020-08-24,34.2735%
2020-08-25,34.5334%
2020-08-26,33.8949%
2020-08-27,34.6065%
2020-08-28,34.9973%
2020-08-31,33.9497%
2020-09-01,34.5857%
2020-09-02,35.2033%
2020-09-03,34.3907%
2020-09-04,33.7534%
2020-09-07,32.9636%
2020-09-08,31.3406%
2020-09-09,31.9140%
2020-09-10,31.2183%
2020-09-11,31.5040%
2020-09-14,32.6319%
2020-09-15,32.9530%
2020-09-16,32.7504%
2020-09-17,32.0067%
2020-09-18,32.6920%
2020-09-21,31.0131%
2020-09-22,31.5497%
2020-09-23,30.5668%
2020-09-24,29.8222%
2020-09-25,30.5700%
2020-09-28,31.7998%
2020-09-29,31.1849%
2020-09-30,31.7533%
2020-10-01,32.2697%
2020-10-02,31.8090%
2020-10-05,33.1581%
2020-10-06,33.1907%
2020-10-07,33.2514%
2020-10-08,34.5031%
2020-10-09,34.9375%
2020-10-12,36.2858%
2020-10-13,35.7039%
2020-10-14,34.7735%
2020-10-15,34.1953%
2020-10-16,34.7625%
2020-10-19,33.7643%
2020-10-20,34.1486%
2020-10-21,34.4106%
2020-10-22,34.4232%
2020-10-23,34.2000%
2020-10-26,33.5777%
2020-10-27,33.6720%
2020-10-28,32.6404%
2020-10-29,32.6960%
2020-10-30,31.9899%
2020-11-02,32.4965%
2020-11-03,34.3313%
2020-11-04,35.6964%
2020-11-05,36.4665%
2020-11-06,36.5940%
2020-11-09,38.3697%
2020-11-10,37.4320%
2020-11-11,38.2234%
2020-11-12,37.4208%
2020-11-13,37.8235%
2020-11-14,37.8922%
2020-11-16,38.7853%
2020-11-17,38.0978%
2020-11-18,38.5363%
2020-11-19,39.5513%
2020-11-20,39.9567%
2020-11-23,41.2487%
2020-11-24,42.0878%
2020-11-25,40.5151%
2020-11-26,40.7281%
2020-11-27,41.1746%
2020-11-30,39.8553%
2020-12-01,40.8976%
2020-12-02,40.9039%
2020-12-03,40.9512%
2020-12-04,41.7439%
